epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,745.532,0.90282,0.59174,0.821,0.7954,0.86094,0.93677,0.71048,0.83027,0.61121,0.80136,0.00011882,0.00011882,0.00011882
43,762.5,0.90687,0.59157,0.81622,0.80239,0.82816,0.92302,0.69687,0.77923,0.6357,0.78611,0.00011684,0.00011684,0.00011684
44,779.542,0.89628,0.58234,0.81925,0.81508,0.87863,0.94994,0.70053,0.82685,0.61348,0.79125,0.00011486,0.00011486,0.00011486
45,797.022,0.90582,0.58092,0.82086,0.75011,0.92868,0.94077,0.68289,0.85312,0.60805,0.79323,0.00011288,0.00011288,0.00011288
46,814.112,0.86311,0.55652,0.81541,0.887,0.81931,0.95263,0.68093,0.99455,0.6241,0.81113,0.0001109,0.0001109,0.0001109
47,831.018,0.86795,0.55415,0.81037,0.8222,0.85237,0.94007,0.70897,0.7698,0.59722,0.78532,0.00010892,0.00010892,0.00010892
48,848.178,0.85999,0.54154,0.81895,0.79884,0.89725,0.95566,0.6842,0.90347,0.58669,0.7976,0.00010694,0.00010694,0.00010694
49,865.118,0.87691,0.54364,0.81836,0.8591,0.86925,0.94701,0.70406,0.83441,0.55401,0.79614,0.00010496,0.00010496,0.00010496
50,882.079,0.87205,0.5453,0.81769,0.79138,0.92409,0.94454,0.67315,0.89185,0.56367,0.79789,0.00010298,0.00010298,0.00010298
51,899.11,0.86964,0.53517,0.82205,0.71819,0.91308,0.93889,0.70589,0.84363,0.61711,0.7918,0.000101,0.000101,0.000101
52,916.35,0.86641,0.54313,0.81949,0.78658,0.89841,0.94642,0.71127,0.77496,0.62683,0.78778,9.902e-05,9.902e-05,9.902e-05
53,933.537,0.8544,0.53698,0.81867,0.80775,0.90792,0.95194,0.69698,0.83107,0.58357,0.78946,9.704e-05,9.704e-05,9.704e-05
54,950.49,0.84123,0.52937,0.81407,0.80547,0.91508,0.96538,0.70529,0.84937,0.57809,0.79036,9.506e-05,9.506e-05,9.506e-05
55,967.672,0.83374,0.51296,0.81001,0.85524,0.90932,0.97906,0.73249,0.74586,0.50996,0.78015,9.308e-05,9.308e-05,9.308e-05
56,985.929,0.81202,0.51799,0.81352,0.79301,0.89315,0.95947,0.74125,0.73385,0.61927,0.78167,9.11e-05,9.11e-05,9.11e-05
57,1004.22,0.83635,0.51266,0.81335,0.8075,0.87201,0.94755,0.71458,0.80401,0.57694,0.78842,8.912e-05,8.912e-05,8.912e-05
58,1021.36,0.80319,0.49652,0.81154,0.80419,0.90108,0.96341,0.73427,0.78018,0.55441,0.78651,8.714e-05,8.714e-05,8.714e-05
59,1038.52,0.80479,0.49699,0.80664,0.83378,0.88957,0.94619,0.72063,0.70815,0.59082,0.77871,8.516e-05,8.516e-05,8.516e-05
60,1055.61,0.78169,0.48052,0.81182,0.83198,0.87951,0.95396,0.72839,0.75553,0.55121,0.78428,8.318e-05,8.318e-05,8.318e-05
61,1072.85,0.79029,0.49387,0.80818,0.78028,0.92027,0.95411,0.70612,0.83668,0.58608,0.78795,8.12e-05,8.12e-05,8.12e-05
62,1090.06,0.79836,0.49338,0.81116,0.79263,0.93229,0.96417,0.73957,0.73319,0.55048,0.78187,7.922e-05,7.922e-05,7.922e-05
63,1107.36,0.77523,0.47378,0.80792,0.82114,0.91218,0.94423,0.71394,0.79692,0.566,0.78665,7.724e-05,7.724e-05,7.724e-05
64,1124.77,0.76955,0.47672,0.81056,0.74547,0.94283,0.93195,0.72,0.69558,0.54277,0.77604,7.526e-05,7.526e-05,7.526e-05
65,1141.89,0.78496,0.47556,0.80312,0.83699,0.86939,0.94037,0.71694,0.8394,0.55816,0.79193,7.328e-05,7.328e-05,7.328e-05
66,1159.05,0.76704,0.46376,0.80494,0.89149,0.81416,0.9537,0.73087,0.75519,0.58474,0.78149,7.13e-05,7.13e-05,7.13e-05
67,1176.16,0.763,0.45339,0.80679,0.79006,0.90252,0.95384,0.72235,0.78795,0.57592,0.78647,6.932e-05,6.932e-05,6.932e-05
68,1193.27,0.77978,0.46349,0.80402,0.87584,0.8169,0.95689,0.72902,0.70259,0.55643,0.77576,6.734e-05,6.734e-05,6.734e-05
69,1210.31,0.75705,0.4528,0.80555,0.85102,0.84561,0.95972,0.73565,0.7431,0.56654,0.78106,6.536e-05,6.536e-05,6.536e-05
70,1227.63,0.74748,0.44095,0.80878,0.8032,0.86343,0.95897,0.7302,0.72797,0.5398,0.77576,6.338e-05,6.338e-05,6.338e-05
71,1244.7,0.74304,0.44487,0.79917,0.79734,0.89488,0.94879,0.71298,0.76931,0.55638,0.77924,6.14e-05,6.14e-05,6.14e-05
72,1261.95,0.73464,0.44024,0.80409,0.76601,0.9654,0.94552,0.71296,0.80199,0.55343,0.78533,5.942e-05,5.942e-05,5.942e-05
73,1279.04,0.73361,0.44231,0.8068,0.74717,0.96143,0.94375,0.72832,0.71669,0.53866,0.77828,5.744e-05,5.744e-05,5.744e-05
74,1296.31,0.72546,0.4346,0.80578,0.70686,0.96899,0.95104,0.73508,0.69227,0.52863,0.77654,5.546e-05,5.546e-05,5.546e-05
