epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.814,1.88569,5.06699,1.02107,0.57241,0.22928,0.18493,0.11941,1.37524,3.46682,0.88235,6.62037e-05,6.62037e-05,6.62037e-05
2,102.418,1.61206,2.9216,0.93489,0.58876,0.20155,0.27906,0.18577,1.23689,2.52377,0.86562,0.000131555,0.000131555,0.000131555
3,152.79,1.5628,2.3138,0.92926,0.46758,0.3927,0.37877,0.21308,1.49741,2.31442,0.89756,0.000195586,0.000195586,0.000195586
4,203.755,1.49912,2.05934,0.92192,0.59799,0.3653,0.44167,0.2639,1.47629,2.01128,0.8945,0.00019406,0.00019406,0.00019406
5,255.448,1.46539,1.87094,0.91762,0.4267,0.55555,0.51318,0.29369,1.49765,1.77782,0.89179,0.00019208,0.00019208,0.00019208
6,307.077,1.45902,1.73656,0.91194,0.53502,0.51553,0.53349,0.34068,1.28153,1.61028,0.85986,0.0001901,0.0001901,0.0001901
7,358.388,1.42337,1.6812,0.90807,0.54519,0.48271,0.59866,0.36322,1.30829,1.67872,0.86823,0.00018812,0.00018812,0.00018812
8,409.388,1.38632,1.53623,0.89555,0.52507,0.61334,0.64963,0.42593,1.20351,1.35196,0.84172,0.00018614,0.00018614,0.00018614
9,460.274,1.33021,1.44007,0.8917,0.65101,0.53988,0.63873,0.42124,1.15697,1.34565,0.83813,0.00018416,0.00018416,0.00018416
10,509.935,1.33072,1.37477,0.88485,0.63485,0.5595,0.68807,0.45529,1.13,1.25245,0.83529,0.00018218,0.00018218,0.00018218
11,561.019,1.30879,1.28777,0.8898,0.55692,0.70439,0.72926,0.49737,1.11669,1.14632,0.83165,0.0001802,0.0001802,0.0001802
12,612.415,1.32897,1.30961,0.87957,0.60904,0.69853,0.74238,0.4935,1.14905,1.1189,0.83691,0.00017822,0.00017822,0.00017822
13,662.254,1.28334,1.22617,0.87904,0.74483,0.56678,0.74016,0.48847,1.17593,1.16878,0.83859,0.00017624,0.00017624,0.00017624
14,711.685,1.22992,1.15562,0.86982,0.68172,0.64648,0.72729,0.4926,1.13357,1.08451,0.84189,0.00017426,0.00017426,0.00017426
15,761.487,1.251,1.15643,0.87146,0.80835,0.58965,0.78531,0.52855,1.16274,1.09848,0.83509,0.00017228,0.00017228,0.00017228
16,812.315,1.24562,1.13987,0.87793,0.71154,0.65009,0.75345,0.53918,1.00193,1.05593,0.82311,0.0001703,0.0001703,0.0001703
17,863.223,1.24948,1.09191,0.86869,0.67422,0.69743,0.7651,0.50581,1.15925,0.9568,0.83975,0.00016832,0.00016832,0.00016832
18,912.902,1.22993,1.07081,0.86443,0.66121,0.70924,0.79053,0.51801,1.18769,0.98905,0.84749,0.00016634,0.00016634,0.00016634
19,962.793,1.20339,1.06189,0.86815,0.75658,0.69477,0.80302,0.56204,1.01277,0.88208,0.8184,0.00016436,0.00016436,0.00016436
20,1013.7,1.20795,1.03559,0.86791,0.78629,0.59472,0.79229,0.56349,0.97285,0.97203,0.81554,0.00016238,0.00016238,0.00016238
21,1064.68,1.20201,1.01848,0.8613,0.71005,0.67465,0.80939,0.56548,1.09285,1.04378,0.82396,0.0001604,0.0001604,0.0001604
