               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,               1.744,              1.6788,              1.1132,             0.68308,             0.69774,             0.75532,             0.49553,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              1.6957,              1.6129,              1.1155,             0.65912,             0.77003,             0.82973,             0.57794,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              1.7155,              1.6134,              1.1166,             0.80383,             0.73698,             0.83053,             0.57063,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              1.7415,              1.5911,              1.1136,             0.76366,             0.67794,             0.83225,             0.55433,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,               1.712,              1.6001,               1.124,             0.68259,              0.8351,             0.86604,             0.60836,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              1.7233,              1.6071,              1.1165,             0.74737,             0.68183,             0.83186,             0.56204,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              1.6608,              1.4984,               1.114,             0.68197,             0.76732,             0.82556,             0.58011,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.6793,              1.4838,              1.0986,             0.69468,             0.82269,             0.85951,              0.5868,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.6591,              1.4498,              1.0992,             0.73513,             0.64183,             0.82495,              0.5623,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.6887,              1.5311,              1.1074,             0.73348,             0.79534,             0.90122,             0.60849,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.6276,              1.4802,              1.1038,              0.7446,             0.70842,             0.86682,             0.55841,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.6561,              1.4647,              1.1094,             0.64378,             0.79642,             0.84696,             0.58323,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.6523,              1.4524,              1.1007,             0.66419,             0.79701,             0.84747,             0.58968,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,              1.5958,              1.4247,              1.1067,             0.81752,             0.71779,             0.90172,             0.63733,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
