                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91739,                0.58876,                0.81763,                0.78444,                0.94354,                0.97068,                0.72023,                0.87001,                0.62393,                0.79201,             0.00013268,             0.00013268,             0.00013268
                     37,                0.90698,                0.58399,                0.82065,                0.85854,                0.79469,                0.96001,                0.70799,                0.88944,                0.63135,                0.78813,              0.0001307,              0.0001307,              0.0001307
                     38,                0.90755,                0.56808,                0.82402,                0.83193,                0.86645,                0.96298,                0.67752,                0.98696,                0.64105,                0.79623,             0.00012872,             0.00012872,             0.00012872
                     39,                0.91626,                0.58404,                0.82742,                0.80226,                0.91327,                0.95643,                0.73096,                0.71918,                0.52014,                0.77856,             0.00012674,             0.00012674,             0.00012674
                     40,                0.87018,                0.54449,                 0.8194,                0.86412,                0.86192,                 0.9643,                0.71032,                0.86898,                0.58626,                 0.7902,             0.00012476,             0.00012476,             0.00012476
                     41,                0.85484,                0.54524,                0.81359,                0.82742,                0.90966,                0.97157,                0.74531,                0.75972,                0.49927,                0.77771,             0.00012278,             0.00012278,             0.00012278
                     42,                0.86723,                0.54288,                 0.8161,                0.85295,                 0.8679,                0.96224,                0.71387,                0.78614,                 0.5478,                0.78355,              0.0001208,              0.0001208,              0.0001208
                     43,                0.85921,                0.54372,                0.81202,                0.77954,                0.93047,                0.96816,                0.72839,                0.79338,                 0.5375,                 0.7839,             0.00011882,             0.00011882,             0.00011882
                     44,                0.87061,                 0.5401,                0.81526,                0.92246,                0.80959,                0.95541,                0.68767,                0.86991,                0.57332,                 0.7914,             0.00011684,             0.00011684,             0.00011684
                     45,                0.84171,                0.52088,                0.81329,                0.85349,                0.86447,                0.96727,                0.72284,                0.83161,                0.56553,                0.78839,             0.00011486,             0.00011486,             0.00011486
                     46,                  0.816,                0.50677,                0.80826,                0.77763,                0.93498,                0.97423,                0.73353,                0.85795,                0.53383,                0.78741,             0.00011288,             0.00011288,             0.00011288
                     47,                0.82037,                0.49452,                0.80666,                0.81644,                0.90962,                 0.9507,                0.73715,                0.75206,                0.56264,                0.77788,              0.0001109,              0.0001109,              0.0001109
                     48,                0.81547,                0.48444,                0.81431,                0.82663,                 0.9168,                0.96775,                0.74654,                0.77846,                 0.5374,                 0.7773,             0.00010892,             0.00010892,             0.00010892
                     49,                0.81992,                0.50097,                0.81284,                 0.8501,                0.85407,                0.96394,                0.73713,                0.78036,                0.57752,                 0.7799,             0.00010694,             0.00010694,             0.00010694
                     50,                0.82135,                0.49574,                0.81318,                0.82928,                0.90168,                0.96306,                0.72185,                0.84066,                0.52316,                0.78224,             0.00010496,             0.00010496,             0.00010496
                     51,                0.82612,                0.48745,                0.81736,                0.84883,                 0.8823,                 0.9705,                0.73803,                0.73287,                0.52691,                0.77475,             0.00010298,             0.00010298,             0.00010298
                     52,                0.80904,                0.47957,                0.81279,                0.80196,                0.89779,                0.96969,                0.74706,                0.72989,                0.50282,                0.77486,               0.000101,               0.000101,               0.000101
                     53,                0.80795,                0.47869,                0.81301,                0.81553,                0.90777,                0.96861,                0.73147,                0.81092,                0.53836,                0.78269,              9.902e-05,              9.902e-05,              9.902e-05
                     54,                0.79278,                0.47761,                  0.808,                0.84707,                0.88436,                0.96635,                  0.735,                0.80501,                0.51151,                0.77969,              9.704e-05,              9.704e-05,              9.704e-05
                     55,                0.78186,                0.46213,                0.80531,                0.88022,                0.86325,                0.96137,                0.75577,                0.74205,                0.50883,                0.77526,              9.506e-05,              9.506e-05,              9.506e-05
                     56,                0.76288,                0.45137,                0.80641,                0.81037,                0.91759,                0.96744,                0.74885,                0.78996,                0.54149,                0.77754,              9.308e-05,              9.308e-05,              9.308e-05
                     57,                0.78052,                0.45537,                0.80967,                0.81927,                0.90498,                0.97181,                0.73753,                0.78776,                0.48352,                0.77892,               9.11e-05,               9.11e-05,               9.11e-05
                     58,                0.76223,                0.44791,                0.80722,                0.76872,                0.91455,                0.94965,                0.74635,                0.74815,                0.51666,                0.77614,              8.912e-05,              8.912e-05,              8.912e-05
                     59,                0.76082,                0.44575,                0.80141,                0.82361,                0.90909,                0.97055,                 0.7545,                0.75929,                0.50691,                0.77596,              8.714e-05,              8.714e-05,              8.714e-05
                     60,                0.73324,                0.42725,                0.80597,                0.88008,                0.87464,                0.97673,                0.74751,                0.78998,                0.50844,                 0.7801,              8.516e-05,              8.516e-05,              8.516e-05
                     61,                0.75172,                0.43941,                0.80387,                0.82358,                0.87252,                0.95466,                0.74471,                0.69882,                0.53538,                0.77171,              8.318e-05,              8.318e-05,              8.318e-05
                     62,                0.75061,                0.44289,                0.80785,                0.86234,                0.86422,                0.97044,                0.75551,                0.69609,                0.49183,                0.77152,               8.12e-05,               8.12e-05,               8.12e-05
                     63,                0.74476,                0.43378,                0.80533,                0.86364,                0.87425,                 0.9716,                0.74369,                0.76405,                0.50465,                0.77378,              7.922e-05,              7.922e-05,              7.922e-05
                     64,                0.72089,                0.43072,                0.80632,                0.82842,                0.90792,                0.96292,                0.74167,                0.72486,                0.52517,                0.77517,              7.724e-05,              7.724e-05,              7.724e-05
                     65,                0.72461,                0.42177,                0.79763,                0.81896,                0.89992,                0.97067,                0.73957,                0.83406,                0.52437,                0.78497,              7.526e-05,              7.526e-05,              7.526e-05
                     66,                0.71291,                0.41125,                0.80022,                 0.9009,                0.82265,                0.96613,                 0.7509,                0.70062,                0.51553,                0.77359,              7.328e-05,              7.328e-05,              7.328e-05
                     67,                0.71463,                0.40871,                 0.8015,                0.82644,                0.90403,                0.97791,                 0.7642,                0.75072,                 0.5012,                0.77626,               7.13e-05,               7.13e-05,               7.13e-05
                     68,                0.71879,                 0.4164,                0.79837,                0.88222,                0.87226,                0.97646,                0.75787,                0.74596,                0.49987,                0.77487,              6.932e-05,              6.932e-05,              6.932e-05
                     69,                0.69659,                0.40623,                0.79989,                0.82447,                0.87597,                0.97541,                0.75466,                0.74145,                0.53897,                0.77793,              6.734e-05,              6.734e-05,              6.734e-05
                     70,                0.69779,                0.39524,                 0.8038,                0.80663,                0.88829,                0.96707,                0.76819,                0.73841,                0.50905,                0.77528,              6.536e-05,              6.536e-05,              6.536e-05
                     71,                0.69251,                0.39943,                0.79487,                0.81497,                0.90786,                0.97128,                0.75062,                0.75903,                0.51131,                0.77845,              6.338e-05,              6.338e-05,              6.338e-05
                     72,                0.68387,                0.38229,                0.79913,                0.84233,                0.90069,                0.97894,                0.76401,                0.78586,                0.54992,                0.78009,               6.14e-05,               6.14e-05,               6.14e-05
                     73,                0.67997,                0.38731,                0.80156,                0.87496,                0.89266,                0.97449,                0.75824,                0.77207,                0.50456,                0.77944,              5.942e-05,              5.942e-05,              5.942e-05
                     74,                0.66962,                0.38559,                0.80143,                0.76006,                0.93286,                0.96962,                0.76049,                  0.711,                0.49923,                0.77471,              5.744e-05,              5.744e-05,              5.744e-05
                     75,                0.67414,                 0.3831,                0.79544,                0.81515,                0.90879,                0.96895,                0.76314,                  0.698,                0.48863,                0.77241,              5.546e-05,              5.546e-05,              5.546e-05
                     76,                0.67636,                0.38482,                0.79359,                0.93028,                0.84225,                0.97888,                0.75305,                0.78327,                0.49977,                0.78098,              5.348e-05,              5.348e-05,              5.348e-05
                     77,                0.65955,                0.37132,                0.79682,                0.79093,                0.93237,                0.97535,                0.77345,                 0.7134,                0.47493,                0.77276,               5.15e-05,               5.15e-05,               5.15e-05
                     78,                0.65183,                0.36689,                0.79494,                0.82118,                0.93244,                0.97572,                  0.764,                0.73573,                0.47449,                0.77452,              4.952e-05,              4.952e-05,              4.952e-05
                     79,                0.65048,                0.37076,                0.79964,                0.92926,                0.84656,                0.97684,                0.75788,                0.77038,                0.49156,                0.78063,              4.754e-05,              4.754e-05,              4.754e-05
                     80,                 0.6358,                0.36258,                0.79785,                0.88166,                0.89613,                0.98123,                0.77208,                0.72988,                0.47589,                0.77652,              4.556e-05,              4.556e-05,              4.556e-05
                     81,                0.65374,                0.37469,                0.79194,                0.88486,                0.89379,                0.98131,                0.76746,                0.74361,                0.49689,                0.77867,              4.358e-05,              4.358e-05,              4.358e-05
                     82,                0.63976,                0.36358,                0.79364,                0.92026,                0.84523,                0.97691,                0.76756,                0.70951,                0.49024,                0.77542,               4.16e-05,               4.16e-05,               4.16e-05
                     83,                0.62243,                0.35836,                0.79639,                0.84647,                0.91739,                0.98037,                0.76645,                0.74346,                0.51096,                0.77902,              3.962e-05,              3.962e-05,              3.962e-05
                     84,                0.61859,                0.35233,                0.79016,                0.83856,                0.91676,                0.97475,                0.77673,                0.71842,                0.48573,                0.77347,              3.764e-05,              3.764e-05,              3.764e-05
                     85,                0.61833,                0.35369,                 0.7898,                0.86538,                 0.8906,                0.97656,                0.76526,                0.76102,                0.47684,                0.77979,              3.566e-05,              3.566e-05,              3.566e-05
                     86,                0.60464,                0.34036,                0.79457,                0.82265,                0.92953,                0.97142,                0.77782,                0.71129,                0.45894,                0.77414,              3.368e-05,              3.368e-05,              3.368e-05
                     87,                0.61155,                0.34649,                0.79281,                0.82767,                0.92325,                0.97266,                0.76778,                0.71686,                0.47327,                0.77294,               3.17e-05,               3.17e-05,               3.17e-05
                     88,                0.60005,                0.33689,                 0.7938,                0.85715,                 0.9148,                 0.9781,                 0.7777,                 0.7215,                0.51293,                0.77474,              2.972e-05,              2.972e-05,              2.972e-05
                     89,                0.60158,                0.33912,                0.79302,                 0.9144,                0.86543,                 0.9803,                0.77592,                0.74163,                0.50303,                0.77779,              2.774e-05,              2.774e-05,              2.774e-05
                     90,                0.59954,                0.33309,                0.79044,                0.82478,                  0.936,                0.97461,                0.77417,                0.71507,                0.46276,                0.77246,              2.576e-05,              2.576e-05,              2.576e-05
                     91,                0.57804,                0.32056,                0.78899,                0.89953,                0.86673,                0.97079,                0.76284,                0.75119,                0.47785,                0.77623,              2.378e-05,              2.378e-05,              2.378e-05
                     92,                0.55887,                 0.3102,                0.79254,                0.90262,                0.86352,                0.96802,                0.75534,                0.74476,                0.47307,                0.77336,               2.18e-05,               2.18e-05,               2.18e-05
                     93,                0.54957,                0.30035,                 0.7846,                0.90041,                0.86834,                0.97443,                0.76733,                0.72252,                0.47682,                0.77251,              1.982e-05,              1.982e-05,              1.982e-05
                     94,                0.54136,                 0.3001,                0.78811,                0.83782,                0.89994,                0.97426,                0.76648,                0.74027,                0.48423,                0.77311,              1.784e-05,              1.784e-05,              1.784e-05
                     95,                0.53048,                0.29731,                0.77807,                0.83359,                0.91083,                0.97796,                0.77224,                0.73476,                0.49897,                 0.7732,              1.586e-05,              1.586e-05,              1.586e-05
                     96,                0.53678,                0.29727,                0.78738,                0.83425,                 0.9145,                0.97559,                0.78059,                0.69651,                0.48207,                0.77005,              1.388e-05,              1.388e-05,              1.388e-05
                     97,                0.51953,                0.29282,                0.78408,                0.87793,                0.87912,                0.97502,                0.77346,                0.70475,                0.46258,                0.77152,               1.19e-05,               1.19e-05,               1.19e-05
                     98,                0.52125,                 0.2935,                0.78722,                 0.8811,                0.87773,                0.97404,                 0.7717,                0.73306,                0.50159,                0.77451,               9.92e-06,               9.92e-06,               9.92e-06
                     99,                0.52532,                0.29342,                0.78269,                0.89167,                0.87016,                0.97571,                0.76871,                0.74047,                0.50803,                0.77346,               7.94e-06,               7.94e-06,               7.94e-06
                    100,                0.52387,                0.28737,                0.78939,                0.87142,                 0.8767,                0.97656,                0.77842,                0.71528,                0.49125,                0.77195,               5.96e-06,               5.96e-06,               5.96e-06
